Time [s],STA_0_Thr[Mbps],STA_0_MaxSNR[dB],STA_1_Thr[Mbps],STA_1_MaxSNR[dB],Non_Moving_Thr[Mbps]
0.1,0,18.8593,0,18.8593,0
0.2,0,18.8593,0,18.8593,0
0.3,0,18.8593,0,18.8593,0
0.4,0,18.8593,0,18.8593,0
0.5,0,18.8593,0,18.8593,0
0.6,0,18.8593,0,18.8593,0
0.7,0,18.8593,0,18.8593,0
0.8,0,18.8593,0,18.8593,0
0.9,0,18.8593,0,18.8593,0
1,0,18.8593,0,18.8593,0
1.1,0,18.8593,0,18.8593,0
1.2,0,18.8593,0,18.8593,0
1.3,0,18.8593,0,18.8593,0
1.4,0,18.8593,0,18.8593,0
1.5,0,18.8593,0,18.8593,0
1.6,0,18.8593,0,18.8593,0
1.7,0,18.8593,0,18.8593,0
1.8,0,18.8593,0,18.8593,0
1.9,0,18.8593,0,18.8593,0
2,0,18.8593,0,18.8593,0
2.1,99.7382,18.8593,99.7382,18.8593,99.7382
2.2,99.9699,18.8304,100.086,18.8593,100.086
2.3,100.202,18.6546,99.9699,18.8593,99.9699
2.4,99.8541,18.3412,100.086,18.8593,100.086
2.5,100.086,17.911,99.9699,18.8593,99.9699
2.6,99.9699,17.3821,99.9699,18.8593,99.9699
2.7,99.9699,16.7705,100.086,18.8593,100.086
2.8,100.086,16.0901,99.8541,18.8593,99.8541
2.9,99.9699,15.3529,99.9699,18.8593,99.9699
3,100.086,14.5694,100.086,18.8593,100.086
3.1,99.8541,13.7487,100.086,18.8593,100.086
3.2,99.9699,12.8987,99.8541,18.8593,99.8541
3.3,99.9699,12.0259,100.086,18.8593,100.086
3.4,100.202,11.1363,99.9699,18.8593,99.9699
3.5,99.8541,10.2349,100.086,18.8593,100.086
3.6,99.9699,9.3257,99.9699,18.8593,99.9699
3.7,100.086,8.41253,100.082,18.8593,100.082
3.8,99.8541,7.49842,99.5104,18.8593,99.5104
3.9,100.086,6.58593,100.433,18.8593,100.433
4,100.086,5.67742,99.8541,18.8593,99.8541
4.1,27.2224,4.77468,19.6928,18.8593,19.6928
4.2,0,3.87922,0,18.8593,0
4.3,0,3.85189,0,18.8593,0
4.4,0,2.971,0,18.8593,0
4.5,0,2.11518,0,18.8593,0
4.6,0,1.24854,0,18.8593,0
4.7,0,0.393162,0,18.8593,0
4.8,0,-0.468074,0,18.8593,0
4.9,0,-1.28186,0,18.8593,0
5,0,-2.10079,0,18.8593,0
5.1,0,-1.57166,0.112,18.8593,0.112
5.2,0,-0.885007,0,18.8593,0
5.3,0,-0.236443,117.697,18.8593,117.697
5.4,0,0.376407,99.9699,18.8593,99.9699
5.5,0,0.956003,99.9699,18.8593,99.9699
5.6,0,1.50444,100.086,18.8593,100.086
5.7,0,2.02368,99.9699,18.8593,99.9699
5.8,0,2.51559,99.9699,18.8593,99.9699
5.9,0,2.98176,99.9699,18.8593,99.9699
6,0,3.42385,100.086,18.8593,100.086
6.1,0,3.84328,99.9699,18.8593,99.9699
6.2,0,3.90052,99.9699,18.8593,99.9699
6.3,0,3.48417,99.9699,18.8593,99.9699
6.4,0,3.04536,100.086,18.8593,100.086
6.5,0,2.58263,99.9699,18.8593,99.9699
6.6,0,2.09446,99.9699,18.8593,99.9699
6.7,0,1.57918,99.9699,18.8593,99.9699
6.8,0,1.03496,100.086,18.8593,100.086
6.9,0,0.459874,99.9699,18.8593,99.9699
7,0,-0.148205,99.9699,18.8593,99.9699
7.1,0,-0.791565,100.086,18.8593,100.086
7.2,0,-1.47269,66.608,18.8593,66.608
7.3,0,-2.19431,99.9699,18.8593,99.9699
7.4,0,-1.39256,99.9699,18.8593,99.9699
7.5,0,-0.562915,100.086,18.8593,100.086
7.6,0,0.279028,99.9699,18.8593,99.9699
7.7,0,1.13285,99.9699,18.8593,99.9699
7.8,0,1.99801,99.9699,18.8593,99.9699
7.9,0,2.87382,99.9699,18.8593,99.9699
8,0,3.75943,100.086,18.8593,100.086
8.1,0,4.65381,99.9699,18.8593,99.9699
8.2,0,5.55569,99.9699,18.8593,99.9699
8.3,0,6.46355,100.086,18.8593,100.086
8.4,0,7.37558,99.9699,18.8593,99.9699
8.5,0,8.2896,99.159,18.8593,99.159
8.6,0,8.30895,100.781,18.8593,100.781
8.7,0,9.20307,100.086,18.8593,100.086
8.8,0,10.113,99.9699,18.8593,99.9699
8.9,0,11.0157,99.9699,18.8593,99.9699
9,0,11.9072,99.9699,18.8593,99.9699
9.1,0,12.7825,100.086,18.8593,100.086
9.2,0,13.636,99.9699,18.8593,99.9699
9.3,0,14.461,99.9699,18.8593,99.9699
9.4,0,15.25,100.086,18.8593,100.086
9.5,0,15.994,99.9699,18.8593,99.9699
9.6,0,16.6827,99.9699,18.8593,99.9699
9.7,0,17.3044,99.9699,18.8593,99.9699
9.8,0,17.8453,99.9699,18.8593,99.9699
9.9,0,18.2898,100.086,18.8593,100.086
10,0,18.62,99.9699,18.8593,99.9699
10.1,0,18.8156,99.9699,18.8593,99.9699
10.2,0,18.8533,99.9699,18.8593,99.9699
10.3,0,18.7069,100.086,18.8593,100.086
10.4,0,18.3471,99.9699,18.8593,99.9699
10.5,0,17.7408,99.9699,18.8593,99.9699
10.6,0,16.8518,100.086,18.8593,100.086
10.7,0,15.6398,99.9699,18.8593,99.9699
10.8,0,14.0615,99.9699,18.8593,99.9699
10.9,0,12.07,99.9699,18.8593,99.9699
11,0,9.61614,99.9699,18.8593,99.9699
11.1,106.804,6.64861,98.1165,18.8593,98.1165
11.2,0,3.1154,0,18.8593,0
11.3,0,-1.03413,0,18.8593,0
11.4,0,2.70433,0,18.8593,0
11.5,94.9888,6.6854,94.5254,18.8593,94.5254
11.6,100.086,10.2043,99.8541,18.8593,99.8541
11.7,99.9699,13.201,100.086,18.8593,100.086
11.8,99.8541,15.621,99.9699,18.8593,99.9699
11.9,100.086,17.4183,99.9699,18.8593,99.9699
12,99.9699,18.5572,100.086,18.8593,100.086
12.1,100.086,19.0142,99.8541,18.8593,99.8541
12.2,100.086,18.78,99.9699,18.8593,99.9699
12.3,99.9699,17.8594,99.9699,18.8593,99.9699
12.4,99.8541,16.2713,100.202,18.8593,100.202
12.5,100.086,14.0477,99.8541,18.8593,99.8541
12.6,99.9699,11.2315,100.086,18.8593,100.086
12.7,99.7382,7.87477,99.9699,18.8593,99.9699
12.8,65.913,7.7895,64.0595,18.8593,64.0595
12.9,0,3.93392,0,18.8593,0
13,0,-0.22323,0,18.8593,0
13.1,0,1.84572,0,18.8593,0
13.2,117.23,5.57233,124.18,18.8593,124.18
13.3,99.8541,8.71671,100.086,18.8593,100.086
13.4,99.9699,11.3308,100.086,18.8593,100.086
13.5,100.086,13.466,99.6224,18.8593,99.6224
13.6,100.086,15.1725,100.202,18.8593,100.202
13.7,99.9699,16.4978,99.9699,18.8593,99.9699
13.8,99.9699,17.4866,99.9699,18.8593,99.9699
13.9,99.8541,18.18,100.202,18.8593,100.202
14,100.202,18.6156,99.8541,18.8593,99.8541
14.1,99.9699,18.8275,100.086,18.8593,100.086
14.2,99.8541,18.8561,99.9699,18.8593,99.9699
14.3,100.086,18.7222,100.086,18.8593,100.086
14.4,100.086,18.3768,99.9699,18.8593,99.9699
14.5,99.9699,17.7872,99.9699,18.8593,99.9699
14.6,99.9699,16.9173,99.8541,18.8593,99.8541
14.7,100.086,15.727,100.086,18.8593,100.086
14.8,99.8541,14.1731,100.086,18.8593,100.086
14.9,100.086,12.2094,99.8541,18.8593,99.8541
15,99.9699,9.78636,100.202,18.8593,100.202
15.1,96.6106,6.85293,95.4522,18.8593,95.4522
15.2,0,3.35725,0,18.8593,0
15.3,0,-0.75188,0,18.8593,0
15.4,0,2.44118,0,18.8593,0
15.5,79.6979,6.44946,37.648,18.8593,37.648
15.6,100.317,9.99956,0,18.8593,0
15.7,100.086,13.0305,0,18.8593,0
15.8,100.202,15.4876,0,18.8593,0
15.9,99.8541,17.325,0,18.8593,0
16,100.202,18.5058,0,18.8593,0
16.1,95.6838,19.0059,0,18.8593,0
16.2,104.256,18.8148,0,18.8593,0
16.3,100.086,17.9367,0,18.8593,0
16.4,99.9699,16.3896,0,18.8593,0
16.5,99.9699,14.2045,0,18.8593,0
16.6,99.9699,11.424,0,18.8593,0
16.7,99.9699,8.09945,0,18.8593,0
16.8,64.7546,4.28901,0,18.8593,0
16.9,0,0.0543282,0,18.8593,0
17,0,1.596,0,18.8593,0
17.1,0,1.69522,0,18.8593,0
17.2,128.235,5.35999,0,18.8593,0
17.3,99.9699,8.53881,0,18.8593,0
17.4,99.9699,11.1841,0,18.8593,0
17.5,100.086,13.3473,0,18.8593,0
17.6,99.8541,15.0788,0,18.8593,0
17.7,100.086,16.4263,0,18.8593,0
17.8,99.9699,17.4346,0,18.8593,0
17.9,100.086,18.145,0,18.8593,0
18,99.8541,18.5955,0,18.8593,0
18.1,99.8541,18.8203,4.17024,18.8593,4.17024
18.2,100.202,18.8593,99.8541,18.8593,99.8541
18.3,99.9699,18.8593,99.9699,18.8593,99.9699
18.4,99.9699,18.8593,100.202,18.8593,100.202
18.5,99.9699,18.8593,99.9699,18.8593,99.9699
18.6,100.086,18.8593,99.8541,18.8593,99.8541
18.7,99.9699,18.8593,100.202,18.8593,100.202
18.8,99.9699,18.8593,99.7382,18.8593,99.7382
18.9,99.9699,18.8593,100.202,18.8593,100.202
19,99.9699,18.8593,99.7382,18.8593,99.7382
19.1,100.202,18.8593,100.202,18.8593,100.202
19.2,99.9699,18.8593,99.9699,18.8593,99.9699
19.3,99.9699,18.8593,99.9699,18.8593,99.9699
19.4,99.9699,18.8593,99.9699,18.8593,99.9699
