Time [s],STA_0_Thr[Mbps],STA_0_MaxSNR[dB],STA_1_Thr[Mbps],STA_1_MaxSNR[dB],Non_Moving_Thr[Mbps]
0.1,0,18.26,0,18.26,0
0.2,0,18.26,0,18.26,0
0.3,0,18.26,0,18.26,0
0.4,0,18.26,0,18.26,0
0.5,0,18.26,0,18.26,0
0.6,0,18.26,0,18.26,0
0.7,0,18.26,0,18.26,0
0.8,0,18.26,0,18.26,0
0.9,0,18.26,0,18.26,0
1,0,18.26,0,18.26,0
1.1,0,18.26,0,18.26,0
1.2,0,18.26,0,18.26,0
1.3,0,18.26,0,18.26,0
1.4,0,18.26,0,18.26,0
1.5,0,18.26,0,18.26,0
1.6,0,18.26,0,18.26,0
1.7,0,18.26,0,18.26,0
1.8,0,18.26,0,18.26,0
1.9,0,18.26,0,18.26,0
2,0,18.26,0,18.26,0
2.1,99.7382,18.26,99.8541,18.26,99.8541
2.2,100.202,18.2464,99.8541,18.26,99.8541
2.3,99.9699,18.0752,100.086,18.26,100.086
2.4,99.8541,17.6867,100.086,18.26,100.086
2.5,99.9699,17.0474,99.9699,18.26,99.9699
2.6,99.9699,16.1205,100.086,18.26,100.086
2.7,100.086,14.8655,99.7382,18.26,99.7382
2.8,99.9699,13.2385,100.202,18.26,100.202
2.9,100.086,11.1923,99.9699,18.26,99.9699
3,99.8541,8.67741,99.9699,18.26,99.9699
3.1,76.8019,5.64261,77.2653,18.26,77.2653
3.2,0,2.03576,0,18.26,0
3.3,0,-1.70921,0,18.26,0
3.4,0,2.62553,0,18.26,0
3.5,73.2109,6.55255,77.0336,18.26,77.0336
3.6,99.8541,10.0094,100.086,18.26,100.086
3.7,100.086,12.9368,99.8541,18.26,99.8541
3.8,99.9699,15.2813,99.9699,18.26,99.9699
3.9,99.9699,16.9981,100.202,18.26,100.202
4,100.086,18.0526,99.8541,18.26,99.8541
4.1,99.9699,18.4235,99.9699,18.26,99.9699
4.2,98.3482,18.1029,98.3482,18.26,98.3482
4.3,101.592,18.1029,101.823,18.26,101.823
4.4,99.9699,17.0976,99.8541,18.26,99.8541
4.5,99.9699,15.4281,100.086,18.26,100.086
4.6,100.202,13.1277,99.9699,18.26,99.9699
4.7,99.9699,10.2412,99.9699,18.26,99.9699
4.8,47.2627,6.82101,47.4944,18.26,47.4944
4.9,0,2.92599,0,18.26,0
5,0,-1.38102,0,18.26,0
5.1,0,1.74926,0,18.26,0
5.2,108.658,5.39999,106.341,18.26,106.341
5.3,100.202,8.47476,100.317,18.26,100.317
5.4,99.9699,11.0257,100.086,18.26,100.086
5.5,99.9699,13.1043,99.9699,18.26,99.9699
5.6,99.9699,14.7601,99.9699,18.26,99.9699
5.7,100.086,16.0406,100.086,18.26,100.086
5.8,100.086,16.99,99.8541,18.26,99.8541
5.9,99.8541,17.649,100.086,18.26,100.086
6,99.9699,18.0546,99.9699,18.26,99.9699
6.1,99.9699,18.2406,99.9699,18.26,99.9699
6.2,100.086,18.2505,100.086,18.26,100.086
6.3,99.9699,18.0917,99.9699,18.26,99.9699
6.4,99.9699,17.7175,99.9699,18.26,99.9699
6.5,100.086,17.0947,100.086,18.26,100.086
6.6,99.9699,16.1866,99.9699,18.26,99.9699
6.7,99.9699,14.9531,99.9699,18.26,99.9699
6.8,100.086,13.3502,99.9699,18.26,99.9699
6.9,100.086,11.3315,99.9699,18.26,99.9699
7,99.7382,8.84699,99.9699,18.26,99.9699
7.1,80.1613,5.84563,76.4544,18.26,76.4544
7.2,0,2.27552,0,18.26,0
7.3,0,-1.91435,0,18.26,0
7.4,0,2.36619,0,18.26,0
7.5,81.088,6.32025,74.9485,18.26,74.9485
7.6,100.086,9.80825,99.8541,18.26,99.8541
7.7,99.9699,12.7704,100.086,18.26,100.086
7.8,99.9699,15.1528,99.9699,18.26,99.9699
7.9,99.8541,16.91,100.086,18.26,100.086
8,100.086,18.0066,99.9699,18.26,99.9699
8.1,99.8541,18.4206,99.9699,18.26,99.9699
8.2,100.202,18.1432,99.9699,18.26,99.9699
8.3,99.9699,17.1801,100.086,18.26,100.086
8.4,99.9699,15.5513,100.086,18.26,100.086
8.5,99.2749,13.2893,99.0432,18.26,99.0432
8.6,100.665,13.2893,100.897,18.26,100.897
8.7,100.086,10.4377,100.086,18.26,100.086
8.8,48.7686,7.04931,48.7686,18.26,48.7686
8.9,0,3.18198,0,18.26,0
9,0,-1.10094,0,18.26,0
9.1,0,1.49749,0,18.26,0
9.2,104.488,5.18605,106.109,18.26,106.109
9.3,100.086,8.29582,99.9699,18.26,99.9699
9.4,99.8541,10.8785,100.086,18.26,100.086
9.5,100.086,12.9855,99.8541,18.26,99.8541
9.6,99.8541,14.6668,100.086,18.26,100.086
9.7,100.202,15.9698,99.9699,18.26,99.9699
9.8,99.8541,16.9389,100.086,18.26,100.086
9.9,100.086,17.6151,99.8541,18.26,99.8541
10,99.9699,18.0358,100.202,18.26,100.202
10.1,99.9699,18.2348,99.9699,18.26,99.9699
10.2,100.086,18.2423,99.8541,18.26,99.8541
10.3,99.9699,18.0855,100.202,18.26,100.202
10.4,99.9699,17.7883,99.7382,18.26,99.7382
10.5,100.086,17.3717,100.086,18.26,100.086
10.6,99.8541,16.8543,100.086,18.26,100.086
10.7,99.9699,16.2523,99.9699,18.26,99.9699
10.8,100.086,15.5798,100.086,18.26,100.086
10.9,100.086,14.8491,99.8541,18.26,99.8541
11,99.9699,14.071,100.086,18.26,100.086
11.1,99.9699,13.2546,100.086,18.26,100.086
11.2,100.086,12.4078,99.8541,18.26,99.8541
11.3,99.7382,11.5376,99.9699,18.26,99.9699
11.4,100.317,10.6498,100.086,18.26,100.086
11.5,99.7382,9.74957,99.9699,18.26,99.9699
11.6,100.202,8.84117,99.9699,18.26,99.9699
11.7,99.8541,7.92833,100.086,18.26,100.086
11.8,100.086,7.01418,99.8541,18.26,99.8541
11.9,99.9699,6.10142,99.8541,18.26,99.8541
12,53.5181,5.19221,54.0973,18.26,54.0973
12.1,0,4.2886,0,18.26,0
12.2,0,3.39213,0,18.26,0
12.3,0,2.50422,0,18.26,0
12.4,0,1.62571,0,18.26,0
12.5,0,0.757763,0,18.26,0
12.6,0,-0.0993384,0,18.26,0
12.7,0,-0.944148,0,18.26,0
12.8,0,-0.944148,0,18.26,0
12.9,0,-1.79414,0,18.26,0
13,0,-2.59779,0.112,18.26,0.112
13.1,0,-2.25832,0,18.26,0
13.2,0,-1.56678,83.4086,18.26,83.4086
13.3,0,-0.913706,100.086,18.26,100.086
13.4,0,-0.296548,99.9699,18.26,99.9699
13.5,0,0.287033,99.9699,18.26,99.9699
13.6,0,0.83923,100.086,18.26,100.086
13.7,0,1.36194,99.9699,18.26,99.9699
13.8,0,1.8571,99.9699,18.26,99.9699
13.9,0,2.32638,99.9699,18.26,99.9699
14,0,2.77136,99.9699,18.26,99.9699
14.1,0,3.1935,100.086,18.26,100.086
14.2,0,3.35108,99.9699,18.26,99.9699
14.3,0,2.93741,99.9699,18.26,99.9699
14.4,0,2.50143,100.086,18.26,100.086
14.5,0,2.04174,99.9699,18.26,99.9699
14.6,0,1.55679,99.9699,18.26,99.9699
14.7,0,1.04494,99.9699,18.26,99.9699
14.8,0,0.504395,99.9699,18.26,99.9699
14.9,0,-0.0667777,100.086,18.26,100.086
15,0,-0.67067,99.9699,18.26,99.9699
15.1,0,-1.30955,99.9699,18.26,99.9699
15.2,0,-1.98588,100.086,18.26,100.086
15.3,0,-2.70234,99.9699,18.26,99.9699
15.4,0,-2.09537,99.9699,18.26,99.9699
15.5,0,-1.2673,99.9699,18.26,99.9699
15.6,0,-0.426883,100.086,18.26,100.086
15.7,0,0.42547,99.9699,18.26,99.9699
15.8,0,1.28929,99.9699,18.26,99.9699
15.9,0,2.16375,99.9699,18.26,99.9699
16,0,3.04818,99.9699,18.26,99.9699
16.1,0,3.94152,100.086,18.26,100.086
16.2,0,4.84254,99.9699,18.26,99.9699
16.3,0,5.74974,99.9699,18.26,99.9699
16.4,0,6.66135,100.086,18.26,100.086
16.5,0,7.57525,99.9699,18.26,99.9699
16.6,0,8.48895,99.9699,18.26,99.9699
16.7,0,9.39947,99.9699,18.26,99.9699
16.8,0,10.3034,100.086,18.26,100.086
16.9,0,11.1965,99.9699,18.26,99.9699
17,0,12.0741,98.3482,18.26,98.3482
17.1,0,12.0741,101.592,18.26,101.592
17.2,0,12.9307,100.086,18.26,100.086
17.3,0,13.7597,99.9699,18.26,99.9699
17.4,0,14.5537,99.9699,18.26,99.9699
17.5,0,15.3039,100.086,18.26,100.086
17.6,0,16.0002,99.8541,18.26,99.8541
17.7,0,16.631,100.086,18.26,100.086
17.8,0,17.1829,99.9699,18.26,99.9699
17.9,0,17.6405,100.086,18.26,100.086
18,0,17.9861,99.9699,18.26,99.9699
18.1,0,18.1999,99.9699,18.26,99.9699
18.2,0,18.26,99.9699,18.26,99.9699
18.3,0,18.26,100.086,18.26,100.086
18.4,0,18.26,99.9699,18.26,99.9699
18.5,0,18.26,99.9699,18.26,99.9699
18.6,0,18.26,99.9699,18.26,99.9699
18.7,0,18.26,100.086,18.26,100.086
18.8,0,18.26,99.9699,18.26,99.9699
18.9,0,18.26,99.9699,18.26,99.9699
19,82.4781,18.26,99.8541,18.26,99.8541
19.1,99.9699,18.26,100.086,18.26,100.086
19.2,100.086,18.26,99.9699,18.26,99.9699
19.3,99.9699,18.26,99.9699,18.26,99.9699
19.4,99.8541,18.26,100.086,18.26,100.086
19.5,99.8541,18.26,99.9699,18.26,99.9699
19.6,100.317,18.26,99.9699,18.26,99.9699
19.7,99.8541,18.26,100.086,18.26,100.086
19.8,100.086,18.26,99.8541,18.26,99.8541
19.9,99.9699,18.26,99.9699,18.26,99.9699
20,99.9699,18.26,100.202,18.26,100.202
20.1,99.9699,18.26,99.8541,18.26,99.8541
20.2,100.086,18.26,99.9699,18.26,99.9699
20.3,99.9699,18.26,100.202,18.26,100.202
20.4,99.9699,18.26,99.9699,18.26,99.9699
20.5,100.086,18.26,99.8541,18.26,99.8541
20.6,99.8541,18.26,100.086,18.26,100.086
20.7,99.6224,18.26,99.2749,18.26,99.2749
