Time [s],STA_0_Thr[Mbps],STA_0_MaxSNR[dB],STA_1_Thr[Mbps],STA_1_MaxSNR[dB],Non_Moving_Thr[Mbps]
0.1,0.0,18.26,0.0,18.26,0.0
0.2,0.0,18.26,0.0,18.26,0.0
0.3,0.0,18.26,0.0,18.26,0.0
0.4,0.0,18.26,0.0,18.26,0.0
0.5,0.0,18.26,0.0,18.26,0.0
0.6,0.0,18.26,0.0,18.26,0.0
0.7,0.0,18.26,0.0,18.26,0.0
0.8,0.0,18.26,0.0,18.26,0.0
0.9,0.0,18.26,0.0,18.26,0.0
1.0,0.0,18.26,0.0,18.26,0.0
1.1,0.0,18.26,0.0,18.26,0.0
1.2,0.0,18.26,0.0,18.26,0.0
1.3,0.0,18.26,0.0,18.26,0.0
1.4,0.0,18.26,0.0,18.26,0.0
1.5,0.0,18.26,0.0,18.26,0.0
1.6,0.0,18.26,0.0,18.26,0.0
1.7,0.0,18.26,0.0,18.26,0.0
1.8,0.0,18.26,0.0,18.26,0.0
1.9,0.0,18.26,0.0,18.26,0.0
2.0,0.0,18.26,0.0,18.26,0.0
2.1,0.998541,18.26,0.36605400000000005,18.26,0.36605400000000005
2.2,0.0845632,18.2464,0.0,18.26,0.0
2.3,0.0,18.0752,0.0,18.26,0.0
2.4,0.0,17.6867,0.0,18.26,0.0
2.5,0.0,17.0474,0.0,18.26,0.0
2.6,0.0,16.1205,0.0,18.26,0.0
2.7,0.0,14.8655,0.0,18.26,0.0
2.8,0.0,13.2385,0.0,18.26,0.0
2.9,0.0,11.1924,0.0,18.26,0.0
3.0,0.0,8.67751,0.0,18.26,0.0
3.1,0.0,5.6426099999999995,1.00665,18.26,1.00665
3.2,0.0,2.03576,0.244422,18.26,0.244422
3.3,0.0,-1.70921,0.0,18.26,0.0
3.4,0.0,2.62553,0.0,18.26,0.0
3.5,0.0,6.55255,0.0,18.26,0.0
3.6,0.0,10.0094,0.0,18.26,0.0
3.7,0.0,12.9368,0.0,18.26,0.0
3.8,0.0,15.2813,0.0,18.26,0.0
3.9,0.0,16.998,0.0,18.26,0.0
4.0,0.0,18.0526,0.0,18.26,0.0
4.1,0.0,18.4235,0.0,18.26,0.0
