Time [s],STA_0_Thr[Mbps],STA_0_MaxSNR[dB],STA_1_Thr[Mbps],STA_1_MaxSNR[dB],Non_Moving_Thr[Mbps]
0.1,0.0,18.8593,0.0,18.8593,0.0
0.2,0.0,18.8593,0.0,18.8593,0.0
0.3,0.0,18.8593,0.0,18.8593,0.0
0.4,0.0,18.8593,0.0,18.8593,0.0
0.5,0.0,18.8593,0.0,18.8593,0.0
0.6,0.0,18.8593,0.0,18.8593,0.0
0.7,0.0,18.8593,0.0,18.8593,0.0
0.8,0.0,18.8593,0.0,18.8593,0.0
0.9,0.0,18.8593,0.0,18.8593,0.0
1.0,0.0,18.8593,0.0,18.8593,0.0
1.1,0.0,18.8593,0.0,18.8593,0.0
1.2,0.0,18.8593,0.0,18.8593,0.0
1.3,0.0,18.8593,0.0,18.8593,0.0
1.4,0.0,18.8593,0.0,18.8593,0.0
1.5,0.0,18.8593,0.0,18.8593,0.0
1.6,0.0,18.8593,0.0,18.8593,0.0
1.7,0.0,18.8593,0.0,18.8593,0.0
1.8,0.0,18.8593,0.0,18.8593,0.0
1.9,0.0,18.8593,0.0,18.8593,0.0
2.0,0.0,18.8593,0.0,18.8593,0.0
2.1,0.0168,18.8593,0.998541,18.8593,0.998541
2.2,0.0,18.8304,0.0,18.8593,0.0
2.3,0.0,18.6546,0.0,18.8593,0.0
2.4,0.0,18.3413,0.0,18.8593,0.0
2.5,0.0,17.910999999999998,0.0,18.8593,0.0
2.6,0.0,17.3821,0.0,18.8593,0.0
2.7,0.0,16.7705,0.0,18.8593,0.0
2.8,0.0,16.0901,0.0,18.8593,0.0
2.9,0.0,15.3529,0.0,18.8593,0.0
3.0,0.0,14.5694,0.0,18.8593,0.0
3.1,0.930771,13.7487,0.0,18.8593,0.0
3.2,0.0,12.8987,1.3646,18.8593,1.3646
3.3,0.0,12.0259,0.999699,18.8593,0.999699
3.4,0.0,11.1363,0.999699,18.8593,0.999699
3.5,0.0,10.2348,1.00086,18.8593,1.00086
3.6,0.0,9.32569,0.998541,18.8593,0.998541
3.7,0.0,8.41253,1.00086,18.8593,1.00086
3.8,0.0,7.498419999999999,0.998541,18.8593,0.998541
3.9,0.0,6.586,1.00086,18.8593,1.00086
4.0,0.0,5.67746,0.992749,18.8593,0.992749
4.1,0.0,4.77468,0.163334,18.8593,0.163334
4.2,0.0,3.8792199999999997,0.0,18.8593,0.0
4.3,0.0,3.8612,0.0,18.8593,0.0
4.4,0.0,2.9747,0.0,18.8593,0.0
4.5,0.0,2.09789,0.0,18.8593,0.0
4.6,0.0,1.2313,0.0,18.8593,0.0
4.7,0.0,0.37628,0.0,18.8593,0.0
4.8,0.0,-0.467419,0.0,18.8593,0.0
4.9,0.0,-1.28172,0.0,18.8593,0.0
5.0,0.0,-2.10047,0.0,18.8593,0.0
5.1,0.0,-1.5716299999999999,1.2116500000000001,18.8593,1.2116500000000001
5.2,0.0,-0.885007,1.0043700000000002,18.8593,1.0043700000000002
5.3,0.0,-0.23649099999999998,0.998541,18.8593,0.998541
5.4,0.0,0.376407,0.0660288,18.8593,0.0660288
5.5,0.0,0.956003,0.0,18.8593,0.0
5.6,0.0,1.50444,0.0,18.8593,0.0
5.7,0.0,2.02368,0.0,18.8593,0.0
5.8,0.0,2.51556,0.0,18.8593,0.0
5.9,0.0,2.98176,0.0,18.8593,0.0
6.0,0.0,3.42385,0.0,18.8593,0.0
6.1,0.0,3.8432800000000005,0.0,18.8593,0.0
6.2,0.0,3.9005199999999998,0.0,18.8593,0.0
6.3,0.0,3.4841699999999998,0.0,18.8593,0.0
6.4,0.0,3.04536,0.295718,18.8593,0.295718
6.5,0.0,2.58263,0.0,18.8593,0.0
6.6,0.0,2.0944599999999998,0.0,18.8593,0.0
6.7,0.0,1.57918,0.0,18.8593,0.0
6.8,0.0,1.03496,0.0,18.8593,0.0
6.9,0.0,0.459874,0.0,18.8593,0.0
7.0,0.0,-0.148205,0.0,18.8593,0.0
7.1,0.0,-0.791565,0.0,18.8593,0.0
7.2,0.0,-1.47269,0.0,18.8593,0.0
7.3,0.0,-2.19429,0.0,18.8593,0.0
7.4,0.0,-1.39256,1.23569,18.8593,1.23569
7.5,0.0,-0.5629149999999999,0.996224,18.8593,0.996224
7.6,0.0,0.279028,1.0031700000000001,18.8593,1.0031700000000001
7.7,0.0,1.13285,0.999699,18.8593,0.999699
7.8,0.0,1.9980099999999998,0.999699,18.8593,0.999699
7.9,0.0,2.87385,1.00086,18.8593,1.00086
8.0,0.0,3.7594300000000005,0.479578,18.8593,0.479578
8.1,0.0,4.65381,0.999699,18.8593,0.999699
8.2,0.0,5.55569,0.8803839999999999,18.8593,0.8803839999999999
8.3,0.0,6.46355,0.0,18.8593,0.0
8.4,0.0,7.37558,0.0,18.8593,0.0
8.5,0.0,8.2896,0.0,18.8593,0.0
8.6,0.0,8.30782,0.0,18.8593,0.0
8.7,0.0,9.20307,0.0,18.8593,0.0
8.8,0.0,10.113,0.0,18.8593,0.0
8.9,0.0,11.0157,0.0,18.8593,0.0
9.0,0.0,11.9072,0.0,18.8593,0.0
9.1,0.0,12.7825,0.0,18.8593,0.0
9.2,0.0,13.636,0.490003,18.8593,0.490003
9.3,0.0,14.4611,0.999699,18.8593,0.999699
9.4,0.0,15.25,0.999699,18.8593,0.999699
9.5,0.0,15.994000000000002,0.999699,18.8593,0.999699
9.6,0.0,16.6827,1.00086,18.8593,1.00086
9.7,0.0,17.3044,0.999699,18.8593,0.999699
9.8,0.0,17.8453,1.00086,18.8593,1.00086
9.9,0.0,18.2898,0.999699,18.8593,0.999699
10.0,0.0,18.62,0.999699,18.8593,0.999699
10.1,0.0067584,18.8156,0.999699,18.8593,0.999699
10.2,0.0,18.8533,0.999699,18.8593,0.999699
10.3,0.0,18.7069,0.735584,18.8593,0.735584
10.4,0.0,18.3471,0.0,18.8593,0.0
10.5,0.0,17.7408,0.0,18.8593,0.0
10.6,0.0,16.8518,0.0,18.8593,0.0
10.7,0.0,15.6398,0.0,18.8593,0.0
10.8,0.0,14.0615,0.0,18.8593,0.0
10.9,0.0,12.07,0.0,18.8593,0.0
11.0,0.0,9.61614,0.0,18.8593,0.0
11.1,0.58055,6.648610000000001,0.0,18.8593,0.0
11.2,0.0,3.11555,0.0,18.8593,0.0
11.3,0.0,-1.03413,0.635962,18.8593,0.635962
11.4,0.0,2.70395,1.00086,18.8593,1.00086
11.5,0.0,6.6854,0.0,18.8593,0.0
11.6,0.0,10.2043,0.0,18.8593,0.0
11.7,0.0,13.200999999999999,0.0,18.8593,0.0
11.8,0.0,15.620999999999999,0.0,18.8593,0.0
11.9,0.0,17.4183,0.0,18.8593,0.0
12.0,0.0,18.5572,0.0,18.8593,0.0
12.1,0.410458,19.0142,0.0,18.8593,0.0
12.2,1.05376,18.78,0.0,18.8593,0.0
12.3,0.999699,17.8594,0.0,18.8593,0.0
12.4,0.999699,16.2713,0.0,18.8593,0.0
12.5,0.998541,14.0477,0.0191168,18.8593,0.0191168
12.6,1.0020200000000001,11.2316,0.0,18.8593,0.0
12.7,0.98441,7.8750100000000005,0.0,18.8593,0.0
12.8,0.5249860000000001,7.78642,0.0,18.8593,0.0
12.9,0.0,3.93676,0.0,18.8593,0.0
13.0,0.0,-0.22297899999999998,0.0,18.8593,0.0
13.1,0.0,1.8456299999999999,0.0,18.8593,0.0
13.2,0.0,5.57227,0.0,18.8593,0.0
13.3,0.0,8.71671,0.0,18.8593,0.0
13.4,0.0,11.3308,0.0,18.8593,0.0
13.5,0.0,13.466,0.0,18.8593,0.0
13.6,0.0,15.1725,0.0,18.8593,0.0
13.7,0.0,16.4978,0.0,18.8593,0.0
13.8,0.858374,17.4866,0.0,18.8593,0.0
13.9,0.33130200000000004,18.1802,0.0,18.8593,0.0
14.0,0.0,18.6156,0.0,18.8593,0.0
14.1,0.0,18.8275,0.0,18.8593,0.0
14.2,0.0,18.8561,0.0,18.8593,0.0
