Time [s],Throughput [Mbps],Max SectorID,Max SNR[dB],Angle[deg],Active SectorID
0.1,0,6,18.26,-153.435,2
0.2,0,6,18.26,-153.435,2
0.3,0,6,18.26,-153.435,2
0.4,0,6,18.26,-153.435,2
0.5,0,6,18.26,-153.435,2
0.6,0,6,18.26,-153.435,2
0.7,0,6,18.26,-153.435,2
0.8,0,6,18.26,-153.435,2
0.9,0,6,18.26,-153.435,2
1,0,6,18.26,-153.435,2
1.1,0,6,18.26,-153.435,2
1.2,0,6,18.26,-153.435,2
1.3,0,6,18.26,-153.435,2
1.4,0,6,18.26,-153.435,2
1.5,0,6,18.26,-153.435,2
1.6,0,6,18.26,-153.435,2
1.7,0,6,18.26,-153.435,2
1.8,0,6,18.26,-153.435,2
1.9,0,6,18.26,-153.435,2
2,0,6,18.26,-153.435,2
2.1,99.8541,6,18.26,-153.435,2
2.2,100.086,6,18.2464,-153.435,2
2.3,99.9699,6,18.0752,-153.435,2
2.4,99.9699,6,17.6867,-153.435,2
2.5,99.7382,6,17.0474,-153.435,2
2.6,100.202,6,16.1205,-153.435,2
2.7,99.9699,6,14.8655,-153.435,2
2.8,99.8541,6,13.2385,-153.435,2
2.9,100.086,6,11.1922,-153.435,2
3,100.086,6,8.67751,-153.435,2
3.1,76.5702,6,5.64254,-153.435,2
3.2,0,6,2.03576,-153.435,2
3.3,0,7,-1.70892,-153.435,2
3.4,0,7,2.62585,-153.435,3
3.5,77.2653,7,6.55267,-153.435,3
3.6,99.9699,7,10.0095,-153.435,3
3.7,100.202,7,12.9368,-153.435,3
3.8,99.6224,7,15.2813,-153.435,3
3.9,100.317,7,16.998,-153.435,3
4,99.8541,7,18.0526,-153.435,3
4.1,100.202,7,18.4235,-153.435,3
4.2,98.3482,7,18.1029,-153.435,1
4.3,101.592,7,18.1029,-153.435,3
4.4,99.9699,7,17.0976,-153.435,3
4.5,99.8541,7,15.4281,-153.435,3
4.6,100.086,7,13.1279,-153.435,3
4.7,100.086,7,10.2412,-153.435,3
4.8,47.9578,7,6.82101,-153.435,3
4.9,0,7,2.92616,-153.435,3
5,0,7,-1.38102,-153.435,3
5.1,0,8,1.74926,-153.435,3
5.2,99.0432,8,5.39979,-153.435,4
5.3,99.9699,8,8.47464,-153.435,4
5.4,100.086,8,11.0257,-153.435,4
5.5,99.8541,8,13.1041,-153.435,4
5.6,100.202,8,14.7601,-153.435,4
5.7,99.8541,8,16.0406,-153.435,4
5.8,99.8541,8,16.99,-153.435,4
5.9,100.202,8,17.649,-153.435,4
6,99.8541,8,18.0546,-153.435,4
6.1,100.086,8,18.2406,-153.435,4
6.2,100.086,8,18.2505,-153.435,4
6.3,99.9699,8,18.0917,-153.435,4
