Time [s],STA_0_Thr[Mbps],STA_0_MaxSNR[dB],STA_1_Thr[Mbps],STA_1_MaxSNR[dB],Non_Moving_Thr[Mbps]
0.1,0,18.26,0,18.26,0
0.2,0,18.26,0,18.26,0
0.3,0,18.26,0,18.26,0
0.4,0,18.26,0,18.26,0
0.5,0,18.26,0,18.26,0
0.6,0,18.26,0,18.26,0
0.7,0,18.26,0,18.26,0
0.8,0,18.26,0,18.26,0
0.9,0,18.26,0,18.26,0
1,0,18.26,0,18.26,0
1.1,0,18.26,0,18.26,0
1.2,0,18.26,0,18.26,0
1.3,0,18.26,0,18.26,0
1.4,0,18.26,0,18.26,0
1.5,0,18.26,0,18.26,0
1.6,0,18.26,0,18.26,0
1.7,0,18.26,0,18.26,0
1.8,0,18.26,0,18.26,0
1.9,0,18.26,0,18.26,0
2,0,18.26,0,18.26,0
2.1,99.8541,18.26,99.6224,18.26,99.6224
2.2,100.086,18.2464,100.202,18.26,100.202
2.3,99.9699,18.0752,99.9699,18.26,99.9699
2.4,99.9699,17.6867,99.9699,18.26,99.9699
2.5,99.7382,17.0474,100.086,18.26,100.086
2.6,100.202,16.1205,99.9699,18.26,99.9699
2.7,99.9699,14.8655,100.086,18.26,100.086
2.8,99.8541,13.2385,99.9699,18.26,99.9699
2.9,100.086,11.1922,99.9699,18.26,99.9699
3,100.086,8.67751,99.9699,18.26,99.9699
3.1,76.5702,5.64254,76.6861,18.26,76.6861
3.2,0,2.03576,0,18.26,0
3.3,0,-1.70892,0,18.26,0
3.4,0,2.62585,0,18.26,0
3.5,77.2653,6.55267,75.8752,18.26,75.8752
3.6,99.9699,10.0095,99.9699,18.26,99.9699
3.7,100.202,12.9368,99.8541,18.26,99.8541
3.8,99.6224,15.2813,100.086,18.26,100.086
3.9,100.317,16.998,99.9699,18.26,99.9699
4,99.8541,18.0526,100.086,18.26,100.086
4.1,100.202,18.4235,99.9699,18.26,99.9699
4.2,98.3482,18.1029,98.3482,18.26,98.3482
4.3,101.592,18.1029,101.592,18.26,101.592
4.4,99.9699,17.0976,100.086,18.26,100.086
4.5,99.8541,15.4281,99.9699,18.26,99.9699
4.6,100.086,13.1279,99.9699,18.26,99.9699
4.7,100.086,10.2412,100.086,18.26,100.086
4.8,47.9578,6.82101,48.3053,18.26,48.3053
4.9,0,2.92616,0,18.26,0
5,0,-1.38102,0,18.26,0
5.1,0,1.74926,0,18.26,0
5.2,99.0432,5.39979,105.299,18.26,105.299
5.3,99.9699,8.47464,99.9699,18.26,99.9699
5.4,100.086,11.0257,100.086,18.26,100.086
5.5,99.8541,13.1041,100.086,18.26,100.086
5.6,100.202,14.7601,99.8541,18.26,99.8541
5.7,99.8541,16.0406,100.202,18.26,100.202
5.8,99.8541,16.99,99.8541,18.26,99.8541
5.9,100.202,17.649,99.9699,18.26,99.9699
6,99.8541,18.0546,99.7382,18.26,99.7382
6.1,100.086,18.2406,100.202,18.26,100.202
6.2,100.086,18.2505,100.086,18.26,100.086
6.3,99.9699,18.0917,99.9699,18.26,99.9699
6.4,99.9699,17.7175,99.9699,18.26,99.9699
6.5,100.086,17.0947,100.086,18.26,100.086
6.6,99.9699,16.1866,99.8541,18.26,99.8541
6.7,99.8541,14.9531,100.202,18.26,100.202
6.8,100.086,13.3503,99.9699,18.26,99.9699
6.9,100.086,11.3315,99.9699,18.26,99.9699
7,99.9699,8.84699,99.9699,18.26,99.9699
7.1,76.5702,5.84563,77.0336,18.26,77.0336
7.2,0,2.27552,0,18.26,0
7.3,0,-1.91435,0,18.26,0
7.4,0,2.3659,0,18.26,0
7.5,80.6246,6.32053,76.1069,18.26,76.1069
7.6,99.8541,9.80825,99.9699,18.26,99.9699
7.7,100.202,12.7704,100.086,18.26,100.086
7.8,99.8541,15.1528,99.8541,18.26,99.8541
7.9,100.086,16.9099,100.086,18.26,100.086
8,99.9699,18.0066,99.9699,18.26,99.9699
8.1,99.9699,18.4206,99.9699,18.26,99.9699
8.2,99.9699,18.1432,100.202,18.26,100.202
8.3,100.086,17.1801,99.8541,18.26,99.8541
8.4,99.9699,15.5513,100.086,18.26,100.086
8.5,99.159,13.2893,99.2749,18.26,99.2749
8.6,100.781,13.2893,100.781,18.26,100.781
8.7,99.9699,10.4378,99.9699,18.26,99.9699
8.8,48.0736,7.04931,48.0736,18.26,48.0736
8.9,0,3.18232,0,18.26,0
9,0,-1.10094,0,18.26,0
9.1,0,1.50062,0,18.26,0
9.2,111.322,5.18605,104.604,18.26,104.604
9.3,99.8541,8.29582,100.086,18.26,100.086
9.4,100.086,10.8785,99.8541,18.26,99.8541
9.5,100.086,12.9855,99.9699,18.26,99.9699
9.6,99.9699,14.6667,100.086,18.26,100.086
9.7,99.8541,15.9698,100.086,18.26,100.086
9.8,99.9699,16.9389,99.9699,18.26,99.9699
9.9,100.086,17.6151,99.9699,18.26,99.9699
10,99.9699,18.0358,99.8541,18.26,99.8541
10.1,99.9699,18.2348,99.9699,18.26,99.9699
10.2,99.9699,18.2423,100.202,18.26,100.202
10.3,100.086,18.0855,99.8541,18.26,99.8541
10.4,100.086,17.7883,100.086,18.26,100.086
10.5,99.8541,17.3717,100.086,18.26,100.086
10.6,99.9699,16.8543,99.9699,18.26,99.9699
10.7,99.9699,16.2523,99.8541,18.26,99.8541
10.8,100.202,15.5798,100.086,18.26,100.086
10.9,99.8541,14.8492,100.086,18.26,100.086
11,99.8541,14.071,99.9699,18.26,99.9699
11.1,100.317,13.2546,99.9699,18.26,99.9699
11.2,99.8541,12.4078,99.9699,18.26,99.9699
11.3,100.086,11.5375,99.9699,18.26,99.9699
11.4,99.9699,10.6498,99.9699,18.26,99.9699
11.5,99.9699,9.74957,100.202,18.26,100.202
11.6,99.9699,8.84117,99.9699,18.26,99.9699
11.7,100.086,7.92833,99.8541,18.26,99.8541
11.8,99.8541,7.01418,100.086,18.26,100.086
11.9,100.086,6.10142,100.086,18.26,100.086
12,58.0358,5.19221,58.0358,18.26,58.0358
12.1,0,4.28868,0,18.26,0
12.2,0,3.39222,0,18.26,0
12.3,0,2.50415,0,18.26,0
12.4,0,1.62573,0,18.26,0
12.5,0,0.757644,0,18.26,0
12.6,0,-0.0990673,0,18.26,0
12.7,0,-0.944179,0,18.26,0
12.8,0,-0.944179,0,18.26,0
12.9,0,-1.79386,0,18.26,0
13,0,-2.59737,71.9366,18.26,71.9366
13.1,0,-2.25832,99.9699,18.26,99.9699
13.2,0,-1.56678,99.9699,18.26,99.9699
13.3,0,-0.913706,100.086,18.26,100.086
13.4,0,-0.296548,99.9699,18.26,99.9699
13.5,0,0.287033,99.9699,18.26,99.9699
13.6,0,0.839197,99.9699,18.26,99.9699
13.7,0,1.36194,100.086,18.26,100.086
13.8,0,1.8571,99.9699,18.26,99.9699
13.9,0,2.32638,99.9699,18.26,99.9699
14,0,2.77136,100.086,18.26,100.086
14.1,0,3.19352,99.9699,18.26,99.9699
14.2,0,3.35108,99.9699,18.26,99.9699
14.3,0,2.93741,99.9699,18.26,99.9699
14.4,0,2.50143,100.086,18.26,100.086
14.5,0,2.04174,99.9699,18.26,99.9699
14.6,0,1.55679,99.9699,18.26,99.9699
14.7,0,1.04494,99.9699,18.26,99.9699
14.8,0,0.504395,100.086,18.26,100.086
14.9,0,-0.0667777,99.9699,18.26,99.9699
15,0,-0.67067,99.9699,18.26,99.9699
15.1,0,-1.30955,99.9699,18.26,99.9699
15.2,0,-1.98588,100.086,18.26,100.086
15.3,0,-2.70234,99.9699,18.26,99.9699
15.4,0,-2.09536,99.9699,18.26,99.9699
15.5,0,-1.26727,99.9699,18.26,99.9699
15.6,0,-0.426883,100.086,18.26,100.086
15.7,0,0.42547,99.9699,18.26,99.9699
15.8,0,1.28924,99.9699,18.26,99.9699
15.9,0,2.16375,99.9699,18.26,99.9699
16,0,3.04818,100.086,18.26,100.086
16.1,0,3.94152,99.9699,18.26,99.9699
16.2,0,4.84254,99.9699,18.26,99.9699
16.3,0,5.74974,99.9699,18.26,99.9699
16.4,0,6.66135,99.9699,18.26,99.9699
16.5,0,7.57527,100.086,18.26,100.086
16.6,0,8.48895,99.9699,18.26,99.9699
16.7,0,9.39951,99.9699,18.26,99.9699
16.8,0,10.3033,100.086,18.26,100.086
16.9,0,11.1965,99.9699,18.26,99.9699
17,0,12.0741,98.3482,18.26,98.3482
17.1,0,12.0741,101.708,18.26,101.708
17.2,0,12.9307,99.9699,18.26,99.9699
17.3,0,13.7597,99.9699,18.26,99.9699
17.4,0,14.5537,99.9699,18.26,99.9699
17.5,0,15.3039,100.086,18.26,100.086
17.6,0,16.0002,99.9699,18.26,99.9699
17.7,0,16.631,99.9699,18.26,99.9699
17.8,0,17.1829,99.9699,18.26,99.9699
17.9,0,17.6405,100.086,18.26,100.086
18,0,17.9861,99.9699,18.26,99.9699
18.1,0,18.1999,99.9699,18.26,99.9699
18.2,0,18.26,99.9699,18.26,99.9699
18.3,0,18.26,99.9699,18.26,99.9699
18.4,0,18.26,100.086,18.26,100.086
18.5,0,18.26,99.9699,18.26,99.9699
18.6,0,18.26,99.9699,18.26,99.9699
18.7,0,18.26,100.086,18.26,100.086
18.8,0,18.26,99.9699,18.26,99.9699
18.9,0,18.26,99.9699,18.26,99.9699
19,78.4237,18.26,99.8541,18.26,99.8541
19.1,99.9699,18.26,99.9699,18.26,99.9699
19.2,100.086,18.26,99.9699,18.26,99.9699
19.3,99.9699,18.26,99.9699,18.26,99.9699
19.4,99.8541,18.26,100.202,18.26,100.202
19.5,100.086,18.26,99.8541,18.26,99.8541
19.6,99.8541,18.26,100.086,18.26,100.086
19.7,100.086,18.26,100.086,18.26,100.086
19.8,100.086,18.26,99.8541,18.26,99.8541
19.9,100.086,18.26,100.086,18.26,100.086
20,99.8541,18.26,100.086,18.26,100.086
20.1,100.086,18.26,99.8541,18.26,99.8541
20.2,99.9699,18.26,99.9699,18.26,99.9699
20.3,99.8541,18.26,100.086,18.26,100.086
20.4,100.086,18.26,100.086,18.26,100.086
20.5,99.9699,18.26,99.9699,18.26,99.9699
20.6,100.086,18.26,99.8541,18.26,99.8541
20.7,99.8541,18.26,100.086,18.26,100.086
