Time [s],STA_0_Thr[Mbps],STA_0_MaxSNR[dB],STA_1_Thr[Mbps],STA_1_MaxSNR[dB],Non_Moving_Thr[Mbps]
0.1,0.0,18.8593,0.0,18.8593,0.0
0.2,0.0,18.8593,0.0,18.8593,0.0
0.3,0.0,18.8593,0.0,18.8593,0.0
0.4,0.0,18.8593,0.0,18.8593,0.0
0.5,0.0,18.8593,0.0,18.8593,0.0
0.6,0.0,18.8593,0.0,18.8593,0.0
0.7,0.0,18.8593,0.0,18.8593,0.0
0.8,0.0,18.8593,0.0,18.8593,0.0
0.9,0.0,18.8593,0.0,18.8593,0.0
1.0,0.0,18.8593,0.0,18.8593,0.0
1.1,0.0,18.8593,0.0,18.8593,0.0
1.2,0.0,18.8593,0.0,18.8593,0.0
1.3,0.0,18.8593,0.0,18.8593,0.0
1.4,0.0,18.8593,0.0,18.8593,0.0
1.5,0.0,18.8593,0.0,18.8593,0.0
1.6,0.0,18.8593,0.0,18.8593,0.0
1.7,0.0,18.8593,0.0,18.8593,0.0
1.8,0.0,18.8593,0.0,18.8593,0.0
1.9,0.0,18.8593,0.0,18.8593,0.0
2.0,0.0,18.8593,0.0,18.8593,0.0
2.1,0.9973820000000001,18.8593,0.998541,18.8593,0.998541
2.2,0.999699,18.8304,0.999699,18.8593,0.999699
2.3,1.0020200000000001,18.6546,0.999699,18.8593,0.999699
2.4,0.999699,18.3413,0.999699,18.8593,0.999699
2.5,0.998541,17.910999999999998,1.00086,18.8593,1.00086
2.6,1.00086,17.3821,1.00086,18.8593,1.00086
2.7,0.998541,16.7705,0.9973820000000001,18.8593,0.9973820000000001
2.8,1.00086,16.09,0.999699,18.8593,0.999699
2.9,0.998541,15.3529,1.0020200000000001,18.8593,1.0020200000000001
3.0,1.00086,14.5694,0.9973820000000001,18.8593,0.9973820000000001
3.1,1.00086,13.7487,1.0031700000000001,18.8593,1.0031700000000001
3.2,0.998541,12.8987,0.999699,18.8593,0.999699
3.3,1.00086,12.0259,0.999699,18.8593,0.999699
3.4,1.0020200000000001,11.1364,0.999699,18.8593,0.999699
3.5,0.999699,10.2349,0.999699,18.8593,0.999699
3.6,0.998541,9.3257,1.00086,18.8593,1.00086
3.7,1.00086,8.41253,1.00086,18.8593,1.00086
3.8,1.00086,7.49838,0.998541,18.8593,0.998541
3.9,0.9973820000000001,6.586,0.999699,18.8593,0.999699
4.0,1.0020200000000001,5.67746,0.999699,18.8593,0.999699
4.1,0.272224,4.77465,0.21314599999999997,18.8593,0.21314599999999997
4.2,0.0,3.8791800000000003,0.0,18.8593,0.0
4.3,0.0,3.86142,0.0,18.8593,0.0
4.4,0.0,2.88482,0.0,18.8593,0.0
4.5,0.0,2.11518,0.0,18.8593,0.0
4.6,0.0,1.2485,0.0,18.8593,0.0
4.7,0.0,0.393162,0.0,18.8593,0.0
4.8,0.0,-0.561448,0.0,18.8593,0.0
4.9,0.0,-1.28172,0.0,18.8593,0.0
5.0,0.0,-2.10054,0.0,18.8593,0.0
5.1,0.0,-1.57166,1.0471899999999998,18.8593,1.0471899999999998
5.2,0.0,-0.885007,0.999699,18.8593,0.999699
5.3,0.0,-0.23649099999999998,1.00086,18.8593,1.00086
5.4,0.0,0.376407,0.999699,18.8593,0.999699
5.5,0.0,0.956003,0.999699,18.8593,0.999699
5.6,0.0,1.50444,1.00086,18.8593,1.00086
5.7,0.0,2.02368,0.999699,18.8593,0.999699
5.8,0.0,2.51556,0.999699,18.8593,0.999699
5.9,0.0,2.98176,1.00086,18.8593,1.00086
6.0,0.0,3.42385,0.998541,18.8593,0.998541
6.1,0.0,3.8432800000000005,1.00086,18.8593,1.00086
6.2,0.0,3.9005199999999998,0.999699,18.8593,0.999699
6.3,0.0,3.4841699999999998,1.00086,18.8593,1.00086
6.4,0.0,3.04536,0.999699,18.8593,0.999699
6.5,0.0,2.58263,0.999699,18.8593,0.999699
6.6,0.0,2.0944599999999998,0.999699,18.8593,0.999699
6.7,0.0,1.57918,1.00086,18.8593,1.00086
6.8,0.0,1.03496,0.999699,18.8593,0.999699
6.9,0.0,0.459874,0.999699,18.8593,0.999699
7.0,0.0,-0.148205,0.999699,18.8593,0.999699
7.1,0.0,-0.791565,1.00086,18.8593,1.00086
7.2,0.0,-1.47269,0.999699,18.8593,0.999699
7.3,0.0,-2.19429,0.999699,18.8593,0.999699
7.4,0.0,-1.39252,0.999699,18.8593,0.999699
7.5,0.0,-0.562882,1.00086,18.8593,1.00086
7.6,0.0,0.279028,0.999699,18.8593,0.999699
7.7,0.0,1.13285,0.999699,18.8593,0.999699
7.8,0.0,1.9980099999999998,0.999699,18.8593,0.999699
7.9,0.0,2.8738200000000003,0.999699,18.8593,0.999699
8.0,0.0,3.7594300000000005,1.00086,18.8593,1.00086
8.1,0.0,4.65381,0.999699,18.8593,0.999699
8.2,0.0,5.55569,0.999699,18.8593,0.999699
8.3,0.0,6.46355,1.00086,18.8593,1.00086
8.4,0.0,7.37558,0.999699,18.8593,0.999699
8.5,0.0,8.2896,0.99159,18.8593,0.99159
8.6,0.0,8.31307,1.0089700000000001,18.8593,1.0089700000000001
8.7,0.0,9.20307,0.999699,18.8593,0.999699
8.8,0.0,10.113,0.999699,18.8593,0.999699
8.9,0.0,11.0157,0.999699,18.8593,0.999699
9.0,0.0,11.9072,1.00086,18.8593,1.00086
9.1,0.0,12.7997,0.999699,18.8593,0.999699
9.2,0.0,13.636,0.999699,18.8593,0.999699
9.3,0.0,14.460999999999999,0.999699,18.8593,0.999699
9.4,0.0,15.25,1.00086,18.8593,1.00086
9.5,0.0,15.994000000000002,0.999699,18.8593,0.999699
9.6,0.0,16.6827,0.999699,18.8593,0.999699
9.7,0.0,17.3044,0.999699,18.8593,0.999699
9.8,0.0,17.8453,1.00086,18.8593,1.00086
9.9,0.0,18.2898,0.998541,18.8593,0.998541
10.0,0.0,18.62,1.00086,18.8593,1.00086
10.1,0.0,18.8156,0.999699,18.8593,0.999699
10.2,0.0,18.8533,1.00086,18.8593,1.00086
10.3,0.0,18.7069,0.999699,18.8593,0.999699
10.4,0.0,18.3471,0.999699,18.8593,0.999699
10.5,0.0,17.7408,0.999699,18.8593,0.999699
10.6,0.0,16.8518,1.00086,18.8593,1.00086
10.7,0.0,15.6398,0.999699,18.8593,0.999699
10.8,0.0,14.0615,0.999699,18.8593,0.999699
10.9,0.0,12.0699,0.999699,18.8593,0.999699
11.0,0.0,9.616,1.00086,18.8593,1.00086
11.1,0.0,6.648610000000001,0.999699,18.8593,0.999699
11.2,0.0,3.11555,0.999699,18.8593,0.999699
11.3,0.0,-1.03413,0.999699,18.8593,0.999699
11.4,0.0,2.70395,1.00086,18.8593,1.00086
11.5,0.0,6.6854,0.999699,18.8593,0.999699
11.6,1.1445,10.2043,0.9973820000000001,18.8593,0.9973820000000001
11.7,1.00086,13.200999999999999,1.00086,18.8593,1.00086
11.8,0.999699,15.620999999999999,0.999699,18.8593,0.999699
11.9,0.998541,17.4184,1.0020200000000001,18.8593,1.0020200000000001
12.0,1.00086,18.5572,0.9973820000000001,18.8593,0.9973820000000001
12.1,0.999699,19.0142,1.0020200000000001,18.8593,1.0020200000000001
12.2,1.0020200000000001,18.78,0.999699,18.8593,0.999699
12.3,0.999699,17.8594,0.999699,18.8593,0.999699
12.4,0.998541,16.2713,1.00082,18.8593,1.00082
12.5,0.999699,14.0477,0.999738,18.8593,0.999738
12.6,1.00086,11.2316,0.998541,18.8593,0.998541
12.7,0.9765309999999999,7.8750100000000005,0.998541,18.8593,0.998541
12.8,0.682298,7.788819999999999,0.623219,18.8593,0.623219
12.9,0.0,3.9529900000000002,0.0,18.8593,0.0
13.0,0.0,-0.22297899999999998,0.0,18.8593,0.0
13.1,0.0,1.9486400000000001,0.0,18.8593,0.0
13.2,1.2615,5.57252,1.23601,18.8593,1.23601
13.3,1.0020200000000001,8.71671,0.999699,18.8593,0.999699
13.4,0.998541,11.3308,0.999699,18.8593,0.999699
