Time [s],X [m],Y [m]
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2,0,0
2.1,0,0
2.2,0.05,0
2.3,0.1,0
2.4,0.15,0
2.5,0.2,0
2.6,0.25,0
2.7,0.3,0
2.8,0.35,0
2.9,0.4,0
3,0.45,0
3.1,0.5,0
3.2,0.55,0
3.3,0.6,0
3.4,0.65,0
3.5,0.7,0
3.6,0.75,0
3.7,0.8,0
3.8,0.85,0
3.9,0.9,0
4,0.95,0
4.1,1,0
4.2,1.05,0
4.3,1.1,0
4.4,1.15,0
4.5,1.2,0
4.6,1.25,0
4.7,1.3,0
4.8,1.35,0
4.9,1.4,0
5,1.45,0
5.1,1.5,0
5.2,1.55,0
5.3,1.6,0
5.4,1.65,0
5.5,1.7,0
5.6,1.75,0
5.7,1.8,0
5.8,1.85,0
5.9,1.9,0
6,1.95,0
6.1,2,0
6.2,1.95,0
6.3,1.9,0
6.4,1.85,0
6.5,1.8,0
6.6,1.75,0
6.7,1.7,0
6.8,1.65,0
6.9,1.6,0
7,1.55,0
7.1,1.5,0
7.2,1.45,0
7.3,1.4,0
7.4,1.35,0
7.5,1.3,0
7.6,1.25,0
7.7,1.2,0
7.8,1.15,0
7.9,1.1,0
8,1.05,0
8.1,1,0
8.2,0.95,0
8.3,0.9,0
8.4,0.85,0
8.5,0.8,0
8.6,0.75,0
8.7,0.7,0
8.8,0.65,0
8.9,0.6,0
9,0.55,0
9.1,0.5,0
9.2,0.45,0
9.3,0.4,0
9.4,0.35,0
9.5,0.3,0
9.6,0.25,0
9.7,0.2,0
9.8,0.15,0
9.9,0.1,0
10,0.05,0
10.1,-9.99647e-10,0
10.2,-0.05,0
10.3,-0.1,0
10.4,-0.15,0
10.5,-0.2,0
10.6,-0.25,0
10.7,-0.3,0
10.8,-0.35,0
10.9,-0.4,0
11,-0.45,0
11.1,-0.5,0
11.2,-0.55,0
11.3,-0.6,0
11.4,-0.65,0
11.5,-0.7,0
11.6,-0.75,0
11.7,-0.8,0
11.8,-0.85,0
11.9,-0.9,0
12,-0.95,0
12.1,-1,0
12.2,-1.05,0
12.3,-1.1,0
12.4,-1.15,0
12.5,-1.2,0
12.6,-1.25,0
12.7,-1.3,0
12.8,-1.35,0
12.9,-1.4,0
13,-1.45,0
13.1,-1.5,0
13.2,-1.55,0
13.3,-1.6,0
13.4,-1.65,0
13.5,-1.7,0
13.6,-1.75,0
13.7,-1.8,0
13.8,-1.85,0
13.9,-1.9,0
14,-1.95,0
14.1,-2,0
14.2,-1.95,0
14.3,-1.9,0
14.4,-1.85,0
14.5,-1.8,0
14.6,-1.75,0
14.7,-1.7,0
14.8,-1.65,0
14.9,-1.6,0
15,-1.55,0
15.1,-1.5,0
15.2,-1.45,0
15.3,-1.4,0
15.4,-1.35,0
15.5,-1.3,0
15.6,-1.25,0
15.7,-1.2,0
15.8,-1.15,0
15.9,-1.1,0
16,-1.05,0
16.1,-1,0
16.2,-0.95,0
16.3,-0.9,0
16.4,-0.85,0
16.5,-0.8,0
16.6,-0.75,0
16.7,-0.7,0
16.8,-0.65,0
16.9,-0.6,0
17,-0.55,0
17.1,-0.5,0
17.2,-0.45,0
17.3,-0.4,0
17.4,-0.35,0
17.5,-0.3,0
17.6,-0.25,0
17.7,-0.2,0
17.8,-0.15,0
17.9,-0.1,0
18,-0.05,0
18.1,1.49454e-13,0
18.2,1.49454e-13,0
18.3,1.49454e-13,0
18.4,1.49454e-13,0
18.5,1.49454e-13,0
18.6,1.49454e-13,0
18.7,1.49454e-13,0
18.8,1.49454e-13,0
18.9,1.49454e-13,0
19,1.49454e-13,0
19.1,1.49454e-13,0
19.2,1.49454e-13,0
19.3,1.49454e-13,0
19.4,1.49454e-13,0
19.5,1.49454e-13,0
19.6,1.49454e-13,0
19.7,1.49454e-13,0
19.8,1.49454e-13,0
19.9,1.49454e-13,0
20,1.49454e-13,0
20.1,1.49454e-13,0
20.2,1.49454e-13,0
20.3,1.49454e-13,0
20.4,1.49454e-13,0
20.5,1.49454e-13,0
20.6,1.49454e-13,0
20.7,1.49454e-13,0
20.8,1.49454e-13,0
20.9,1.49454e-13,0
21,1.49454e-13,0
21.1,1.49454e-13,0
21.2,1.49454e-13,0
21.3,1.49454e-13,0
21.4,1.49454e-13,0
21.5,1.49454e-13,0
21.6,1.49454e-13,0
21.7,1.49454e-13,0
21.8,1.49454e-13,0
21.9,1.49454e-13,0
22,1.49454e-13,0
22.1,1.49454e-13,0
22.2,1.49454e-13,0
22.3,1.49454e-13,0
22.4,1.49454e-13,0
22.5,1.49454e-13,0
22.6,1.49454e-13,0
22.7,1.49454e-13,0
22.8,1.49454e-13,0
22.9,1.49454e-13,0
23,1.49454e-13,0
23.1,1.49454e-13,0
23.2,1.49454e-13,0
23.3,1.49454e-13,0
23.4,1.49454e-13,0
23.5,1.49454e-13,0
23.6,1.49454e-13,0
23.7,1.49454e-13,0
23.8,1.49454e-13,0
23.9,1.49454e-13,0
24,1.49454e-13,0
24.1,1.49454e-13,0
24.2,1.49454e-13,0
24.3,1.49454e-13,0
24.4,1.49454e-13,0
24.5,1.49454e-13,0
24.6,1.49454e-13,0
24.7,1.49454e-13,0
24.8,1.49454e-13,0
24.9,1.49454e-13,0
25,1.49454e-13,0
25.1,1.49454e-13,0
